Haifuraiya channelizer EQ gain table  (corrects the 20->10 Msps halfband droop)
per-channel, indexed by channelizer TDEST 0..63; spacing 156.250 kHz
sample-path gain = 1/|H(f_ch)| (Q2.16, 18-bit, scale 2^16, >>16 after multiply)
power-path corr  = 1/|H(f_ch)|^2 (apply to CHANNEL_POWER before publishing)
ch32 (Nyquist wrap) left at unity -- ambiguous bin, do not use

 ch  freq(MHz) atten(dB)  lin_gain  gain_int  pwr_corr
  0    +0.0000     0.000   1.00000     65536   1.00000
  1    +0.1562    -0.000   1.00002     65537   1.00004
  2    +0.3125    -0.000   1.00002     65537   1.00004
  3    +0.4688     0.000   0.99998     65535   0.99995
  4    +0.6250     0.000   0.99999     65535   0.99998
  5    +0.7812    -0.000   1.00002     65537   1.00004
  6    +0.9375     0.000   0.99998     65535   0.99997
  7    +1.0938     0.000   0.99997     65534   0.99994
  8    +1.2500    -0.000   1.00002     65537   1.00004
  9    +1.4062    -0.000   1.00002     65538   1.00005
 10    +1.5625     0.000   0.99999     65535   0.99998
 11    +1.7188    -0.000   1.00002     65537   1.00003
 12    +1.8750    -0.000   1.00002     65538   1.00005
 13    +2.0312     0.000   0.99998     65535   0.99997
 14    +2.1875     0.000   0.99999     65535   0.99998
 15    +2.3438    -0.000   1.00003     65538   1.00005
 16    +2.5000    -0.000   1.00001     65537   1.00002
 17    +2.6562    -0.000   1.00001     65537   1.00002
 18    +2.8125    -0.000   1.00003     65538   1.00007
 19    +2.9688     0.000   0.99999     65535   0.99998
 20    +3.1250     0.000   0.99997     65534   0.99994
 21    +3.2812    -0.000   1.00003     65538   1.00006
 22    +3.4375    -0.000   1.00002     65538   1.00005
 23    +3.5938     0.000   0.99999     65535   0.99998
 24    +3.7500    -0.000   1.00001     65536   1.00001
 25    +3.9062     0.000   1.00000     65536   1.00000
 26    +4.0625    -0.000   1.00003     65538   1.00007
 27    +4.2188     0.000   0.99998     65534   0.99995
 28    +4.3750    -0.019   1.00219     65679   1.00438
 29    +4.5312    -0.203   1.02364     67085   1.04784
 30    +4.6875    -0.912   1.11073     72793   1.23373
 31    +4.8438    -2.665   1.35916     89074   1.84731
 32    +5.0000    -6.021   1.00000     65536   1.00000
 33    -4.8438    -2.665   1.35916     89074   1.84731
 34    -4.6875    -0.912   1.11073     72793   1.23373
 35    -4.5312    -0.203   1.02364     67085   1.04784
 36    -4.3750    -0.019   1.00219     65679   1.00438
 37    -4.2188     0.000   0.99998     65534   0.99995
 38    -4.0625    -0.000   1.00003     65538   1.00007
 39    -3.9062     0.000   1.00000     65536   1.00000
 40    -3.7500    -0.000   1.00001     65536   1.00001
 41    -3.5938     0.000   0.99999     65535   0.99998
 42    -3.4375    -0.000   1.00002     65538   1.00005
 43    -3.2812    -0.000   1.00003     65538   1.00006
 44    -3.1250     0.000   0.99997     65534   0.99994
 45    -2.9688     0.000   0.99999     65535   0.99998
 46    -2.8125    -0.000   1.00003     65538   1.00007
 47    -2.6562    -0.000   1.00001     65537   1.00002
 48    -2.5000    -0.000   1.00001     65537   1.00002
 49    -2.3438    -0.000   1.00003     65538   1.00005
 50    -2.1875     0.000   0.99999     65535   0.99998
 51    -2.0312     0.000   0.99998     65535   0.99997
 52    -1.8750    -0.000   1.00002     65538   1.00005
 53    -1.7188    -0.000   1.00002     65537   1.00003
 54    -1.5625     0.000   0.99999     65535   0.99998
 55    -1.4062    -0.000   1.00002     65538   1.00005
 56    -1.2500    -0.000   1.00002     65537   1.00004
 57    -1.0938     0.000   0.99997     65534   0.99994
 58    -0.9375     0.000   0.99998     65535   0.99997
 59    -0.7812    -0.000   1.00002     65537   1.00004
 60    -0.6250     0.000   0.99999     65535   0.99998
 61    -0.4688     0.000   0.99998     65535   0.99995
 62    -0.3125    -0.000   1.00002     65537   1.00004
 63    -0.1562    -0.000   1.00002     65537   1.00004
