BURST -1 -1
000014AF72 00004B487A
FFFFBEE5EF FFFFCE53D3
000004D1E1 000010D6F4
000053FD17 FFFFEA9351
FFFFB9DDEC 0000498127
FFFFFCB53D 000000ABDB
0000037639 FFFFE62783
FFFFEBC26A 0000498AA2
FFFFEE935F FFFFC4DDD6
FFFFCDF070 00000FF8D4
FFFFD0C52F 00000FEA08
FFFFD2B79D 000028DBA7
000017A4A7 FFFFBA1A66
00000641FB 000025C414
000037CD85 FFFFD7FFE2
FFFFF03AFC 00006293B2
FFFFEE6C9E FFFF78461F
000048F243 0000097B29
00001212CC 000031CD62
0000049117 0000301AB5
00004D7D60 000001D09A
FFFFCD6C49 FFFFF6C6CA
0000371AE3 FFFFDB8DCD
FFFFD446B9 FFFFFBB69D
00000A189D 0000182931
FFFFE0AE40 FFFFF061EE
0000049500 0000295DA0
FFFFE0C33D 000020D180
FFFFF4113D FFFFC8373D
0000102B51 00001192C2
FFFFF9FFE1 FFFFD28C70
FFFFF6AFB1 FFFFEE12FF
000027EA7E FFFFCD0C8F
000008C0BC 00005A2EB5
FFFFF5CE05 0000122C2F
FFFFD2588A FFFFFE5AFE
00001A8357 00002AF1EB
FFFFEF4E6E 000075F798
FFFFCC024A FFFFEE363A
00001D750F FFFFCA5025
FFFFF51C90 00002C1139
000039D137 000018E43F
FFFFBAA446 FFFFD27264
0000290C2D FFFF95A4CD
000008AF54 0000544C3E
FFFFC370E6 000012D409
FFFFFF317C FFFFFF40CA
FFFFA69642 FFFFD23F16
0000263779 00001E74A5
FFFFEBCA32 FFFFCEB50D
FFFFE339F3 FFFF97D662
00002FEB0C 0000012CC7
FFFFE8BF1D 0000211FFF
00002E174D FFFFAFF887
FFFFFC5D55 FFFFF0292C
0000136C56 0000277DAA
FFFFE7ACC4 FFFFFB5ACD
FFFFEE2994 FFFFC1F6F9
FFFFD8A3FB 00003DDF94
FFFFF1B97B 000007CE4D
FFFFFD360A FFFFBC106E
0000001FA9 0000127809
FFFFF99FE2 000025A0DD
FFFFB74964 00000B9F55
BURST 0 0
000011D280 0000000000
000041C024 FFFFF7A61B
FFFFFEED39 00001BBE0B
FFFFEDE662 FFFFFD0519
000001B5B3 FFFFF33907
00000C496F 00000152CE
